"ID","CATEGORIE","SOUS_CATEGORIE","CAS_DE_TEST","PRECONDITIONS","ETAPES","RESULTAT_ATTENDU","CRITICITE","STATUT","OBSERVATIONS"
"D-011","DISPATCH","Normalisation","Route legacy FF_UNIFIED_WEBHOOK_ROUTER=false","Feature flag désactivé","1. Envoyer webhook. 2. Vérifier appel handleIncomingMessageLegacy dans logs.","Traitement via chemin legacy, résultat identique en BDD","HAUTE","À tester",""
"Q-001","QUEUE","Gestion de la queue","Ajout d'un poste en queue à la connexion agent","Poste avec is_queue_enabled=true, commercial associé","1. Connecter le commercial via WebSocket (JWT valide). 2. GET /queue. 3. Vérifier présence du poste.","Poste visible dans GET /queue avec position valide, log QUEUE_EVENT action=add","CRITIQUE","À tester",""
"Q-002","QUEUE","Gestion de la queue","Retrait du poste à la déconnexion agent","Agent connecté et dans la queue","1. Déconnecter le WebSocket. 2. GET /queue.","Poste absent de la queue, log QUEUE_EVENT action=remove","CRITIQUE","À tester",""
"Q-003","QUEUE","Gestion de la queue","Poste avec is_queue_enabled=false non ajouté","Poste is_queue_enabled=false","1. Connecter le commercial du poste. 2. GET /queue.","Poste absent de la queue malgré la connexion","CRITIQUE","À tester",""
"Q-004","QUEUE","Gestion de la queue","Mode offline – fillQueueWithAllPostes quand tous les agents déconnectés","Au moins un poste is_queue_enabled=true, tous agents déconnectés","1. Déconnecter le dernier agent. 2. GET /queue.","Tous les postes avec is_queue_enabled=true sont dans la queue, log action=fill_all_postes","CRITIQUE","À tester",""
"Q-005","QUEUE","Gestion de la queue","purgeOfflinePostes à la connexion d'un agent","Plusieurs postes en queue en mode offline","1. Connecter un agent. 2. GET /queue.","Les postes offline purgés de la queue, seul le poste connecté reste (sauf others actifs), log action=purge_offline","HAUTE","À tester",""
"Q-006","QUEUE","Gestion de la queue","Idempotence addPosteToQueue – double appel","Poste déjà dans la queue","1. Appeler addPosteToQueue 2 fois pour le même poste. 2. GET /queue.","Une seule entrée pour ce poste, pas de doublon, pas d'exception","HAUTE","À tester",""
"Q-007","QUEUE","Gestion de la queue","Décrémentation des positions après retrait","3 postes en queue (positions 1,2,3), retrait du poste 2","1. Retirer le poste en position 2. 2. GET /queue.","Positions recalculées: ex-position 3 devient 2, pas de trou dans la séquence","HAUTE","À tester",""
"Q-008","QUEUE","Blocage/Déblocage","Bloquer un poste – POST /queue/block/:posteId","Poste dans la queue, is_queue_enabled=true","1. POST /queue/block/:id (admin auth). 2. GET /queue. 3. Vérifier BDD whatsapp_poste.","Poste absent de la queue, is_queue_enabled=false en BDD, is_active=false","HAUTE","À tester",""
"Q-009","QUEUE","Blocage/Déblocage","Débloquer un poste actif – POST /queue/unblock/:posteId","Poste bloqué, is_active=true","1. POST /queue/unblock/:id. 2. GET /queue.","Poste réintégré dans la queue, is_queue_enabled=true, log action=unblock","HAUTE","À tester",""
"Q-010","QUEUE","Blocage/Déblocage","Déblocage refusé si poste is_active=false","Poste bloqué, is_active=false","1. POST /queue/unblock/:id. 2. Vérifier réponse.","Réponse erreur (400 ou message explicite), poste reste hors queue","HAUTE","À tester",""
"Q-011","QUEUE","Reset","Reset de la queue – POST /queue/reset","Agents connectés, queue peuplée","1. POST /queue/reset (admin). 2. GET /queue. 3. Vérifier whatsapp_poste.is_active et whatsapp_commercial.isConnected.","Queue vidée, tous postes is_active=false, tous commerciaux isConnected=false, event admin_reset émis","CRITIQUE","À tester",""
"Q-012","QUEUE","Algorithme","Least-loaded: poste avec moins de chats sélectionné en premier","2 postes en queue, poste A a 3 chats actifs, poste B a 1","1. Envoyer message client nouveau. 2. Vérifier dans whatsapp_chat.poste_id.","Chat assigné au poste B (moins chargé)","CRITIQUE","À tester",""
"Q-013","QUEUE","Algorithme","Round-robin en cas d'égalité de charge","2 postes avec même nombre de chats actifs","1. Envoyer 2 messages clients différents successivement. 2. Vérifier assignation.","Premier message → poste A (premier en queue), second → poste B, alternance visible","CRITIQUE","À tester",""
"Q-014","QUEUE","Algorithme","Rotation moveToEnd après sélection","Poste sélectionné par getNextInQueue","1. Envoyer message. 2. GET /queue.","Poste sélectionné déplacé en dernière position, positions des autres décalées","HAUTE","À tester",""
"A-001","ASSIGNATION","Nouvelle conversation","Assignation d'un nouveau chat avec agent connecté","Poste dans queue, agent connecté, chat_id inexistant en BDD","1. POST webhook avec nouveau chat_id. 2. Vérifier whatsapp_chat créé. 3. Vérifier poste_id, status, assigned_at.","Chat créé, poste_id renseigné, status=actif, assigned_at≠null, assigned_mode=ONLINE, first_response_deadline_at=now+5min","CRITIQUE","À tester",""
"A-002","ASSIGNATION","Nouvelle conversation","Nouvelle conversation sans aucun agent disponible (queue vide)","Queue vide, aucun agent connecté","1. POST webhook nouveau chat. 2. Vérifier whatsapp_chat.","Chat créé, poste_id=null, status=en_attente, assigned_at=null, first_response_deadline_at=null","CRITIQUE","À tester",""
"A-003","ASSIGNATION","Nouvelle conversation","Nouvelle conversation en mode offline (queue remplie par fillQueueWithAllPostes)","Tous agents déconnectés, queue offline active","1. POST webhook nouveau chat. 2. Vérifier whatsapp_chat.","Chat créé, poste_id assigné, assigned_mode=OFFLINE, status=en_attente","CRITIQUE","À tester",""
"A-004","ASSIGNATION","Conversation existante","Message suivant dans conversation existante avec agent connecté","Chat existant, poste_id défini, agent connecté","1. POST webhook avec même chat_id. 2. Vérifier whatsapp_chat.unread_count et last_activity_at.","unread_count incrémenté de 1, last_activity_at mis à jour, poste_id inchangé","CRITIQUE","À tester",""
"A-005","ASSIGNATION","Conversation existante","Message dans conversation existante mais agent déconnecté","Chat existant, agent du poste déconnecté","1. POST webhook. 2. Vérifier réassignation ou statut.","Soit réassignation à autre poste disponible, soit status=en_attente si queue vide","CRITIQUE","À tester",""
"A-006","ASSIGNATION","Conversation existante","Pas de réassignation si chat read_only=true","Chat existant avec read_only=true","1. POST webhook pour ce chat. 2. Vérifier que poste_id ne change pas.","Chat mis à jour (unread, last_activity), poste_id inchangé, pas de réassignation","HAUTE","À tester","Comportement silencieux attendu selon le code"
"A-007","ASSIGNATION","Réassignation","Réassignation correcte – ancien poste notifié, nouveau poste notifié","Chat assigné au poste A, poste A se déconnecte","1. Déconnecter agent poste A avec chats actifs. 2. Observer events Socket.io côté frontend.","Poste A reçoit CONVERSATION_REMOVED, poste B reçoit CONVERSATION_ASSIGNED, chat.poste_id=B en BDD","CRITIQUE","À tester",""
"A-008","ASSIGNATION","Réassignation","Réinjection manuelle via reinjectConversation","Chat actif avec poste assigné","1. Appeler reinjectConversation (via job ou endpoint si exposé). 2. Vérifier poste_id avant/après.","poste_id temporairement null puis réassigné au prochain en queue","HAUTE","À tester",""
"A-009","ASSIGNATION","Multi-tenant","Isolation – chat d'un tenant non visible par autre tenant","2 tenants distincts configurés","1. Agent tenant A connecté. 2. Message entrant pour tenant B. 3. Vérifier que l'agent A ne reçoit pas l'event.","Aucun event CONVERSATION_UPSERT ou MESSAGE_ADD émis sur la room du tenant A","CRITIQUE","À tester",""
"A-010","ASSIGNATION","Multi-tenant","Chat avec tenant_id null – comportement attendu","Chat créé sans tenant_id (legacy)","1. Créer scénario chat.tenant_id=null. 2. Envoyer message. 3. Observer assignation.","Assignation fonctionne ou message d'erreur clair, pas de crash serveur","HAUTE","À tester","Vérifier si le tenant_id NULL peut croiser des données entre clients"
"SLA-001","SLA","Timeout première réponse","Déclenchement du job SLA après deadline dépassée","Chat assigné, first_response_deadline_at dans le passé, last_poste_message_at=null","1. Configurer first_response_deadline_at=now-1min en BDD. 2. Attendre le prochain cycle du job (5 min ou forcer manuellement). 3. Vérifier whatsapp_chat.","Chat réinjecté (reinjectConversation appelé), poste_id=null puis réassigné, logs REINJECT","CRITIQUE","À tester",""
"SLA-002","SLA","Timeout première réponse","Pas de réinjection si agent a déjà répondu","Chat avec last_poste_message_at≠null","1. Mettre last_poste_message_at=now. 2. Attendre cycle job. 3. Vérifier poste_id.","Aucune réinjection, poste_id inchangé","CRITIQUE","À tester",""
"SLA-003","SLA","Timeout première réponse","Pas de réinjection si chat fermé","Chat avec status=FERME","1. Passer chat en FERME. 2. Attendre cycle job.","Aucune action sur ce chat","HAUTE","À tester",""
"SLA-004","SLA","Timeout première réponse","Intervalle SLA configurable via DispatchSettings","DispatchSettings accessible","1. POST /queue/dispatch/settings avec no_reply_reinject_interval_minutes=2. 2. Vérifier que le job se reconfigure. 3. Tester avec deadline à 2 min.","Job déclenché toutes les 2 min, ancienne config arrêtée, logs ""Dispatch interval set to 2 min""","HAUTE","À tester",""
"SLA-005","SLA","Réinjection offline","Job offline réinjecte les chats des postes offline à l'heure configurée","Chats avec poste.is_active=false, last_poste_message_at=null, status=actif","1. Configurer offline_reinject_cron ou déclencher manuellement. 2. Vérifier chats ciblés.","Chats réinjectés vers postes disponibles ou mis EN_ATTENTE, logs correspondants","CRITIQUE","À tester",""
"SLA-006","SLA","Réinjection offline","Pas de réinjection offline si poste toujours actif","Poste avec is_active=true","1. Déclencher job offline. 2. Vérifier chats du poste.","Aucune action sur chats des postes actifs","HAUTE","À tester",""
"SLA-007","SLA","Read-only enforcement","Chat verrouillé après 24h sans message client","Chat avec last_client_message_at=now-25h, read_only=false, status=actif","1. Attendre/forcer l'exécution du job ReadOnlyEnforcement. 2. Vérifier whatsapp_chat.read_only.","read_only=true, event CONVERSATION_READONLY émis via WebSocket","HAUTE","À tester",""
"SLA-008","SLA","Read-only enforcement","Chat non verrouillé si message client < 24h","Chat actif, last_client_message_at=now-1h","1. Exécuter job. 2. Vérifier read_only.","read_only reste false","HAUTE","À tester",""
"SLA-009","SLA","Read-only enforcement","Intervalle du job read-only configurable","DispatchSettings","1. PUT settings read_only_check_interval_minutes=5. 2. Vérifier replanification.","Job replanifié à 5 min, ancien interval supprimé","MOYENNE","À tester",""
"WS-001","WEBSOCKET","Connexion","Connexion WebSocket avec JWT valide","Commercial existant avec poste assigné","1. Connecter socket avec token JWT valide. 2. Vérifier logs serveur.","Connexion acceptée, agent ajouté à connectedAgents, poste actif, queue mise à jour, CONVERSATION_LIST envoyé","CRITIQUE","À tester",""
"WS-002","WEBSOCKET","Connexion","Refus connexion avec JWT invalide/expiré","Token expiré ou falsifié","1. Connecter socket avec mauvais token. 2. Vérifier réponse socket.","Connexion refusée, pas d'ajout à connectedAgents, pas d'émission d'events","CRITIQUE","À tester",""
"WS-003","WEBSOCKET","Connexion","Réception de CONVERSATION_LIST à la connexion","Agent connecté, chats assignés à son poste en BDD","1. Connecter l'agent. 2. Capturer les events reçus côté client.","Event chat:event avec type=CONVERSATION_LIST contenant tous les chats du poste","CRITIQUE","À tester",""
"WS-004","WEBSOCKET","Connexion","Réception de CONTACT_LIST à la connexion","Agent connecté, contacts en BDD","1. Connecter l'agent. 2. Capturer events.","Event contact:event type=CONTACT_LIST reçu","HAUTE","À tester",""
"WS-005","WEBSOCKET","Déconnexion","Déconnexion propre – état cohérent","Agent connecté dans la queue","1. Déconnecter le socket. 2. Vérifier BDD commercial.isConnected, poste.is_active. 3. GET /queue.","commercial.isConnected=false, poste.is_active=false, poste absent de la queue","CRITIQUE","À tester",""
"WS-006","WEBSOCKET","Déconnexion","Déconnexion réseau brutale","Couper la connexion sans close frame","1. Forcer déconnexion TCP brutale. 2. Attendre le timeout socket. 3. Vérifier état.","Même résultat que WS-005 après timeout, pas de fuite mémoire dans connectedAgents","HAUTE","À tester",""
"WS-007","WEBSOCKET","Messages","Envoi message via WebSocket – event message:send","Chat sélectionné, agent authentifié","1. Émettre event message:send {chat_id, text, tempId}. 2. Vérifier BDD et réception côté client.","Message créé en BDD (direction=OUT), event MESSAGE_ADD émis à la room du poste, chat.last_poste_message_at mis à jour","CRITIQUE","À tester",""
"WS-008","WEBSOCKET","Messages","Marquage messages comme lus – event messages:read","Chat avec unread_count > 0","1. Émettre messages:read {chat_id}. 2. Vérifier BDD.","unread_count=0 en BDD, CONVERSATION_UPSERT émis avec unread=0","CRITIQUE","À tester",""
"WS-009","WEBSOCKET","Messages","Récupération des messages d'un chat – messages:get","Chat sélectionné","1. Émettre messages:get {chat_id}. 2. Capturer réponse.","MESSAGE_LIST reçu avec tous les messages du chat triés par timestamp","HAUTE","À tester",""
"WS-010","WEBSOCKET","Messages","Rate limiting – protection anti-spam","Agent connecté","1. Émettre rapidement 50+ events du même type. 2. Vérifier réponse.","Event RATE_LIMITED reçu après dépassement, serveur non crashé","HAUTE","À tester",""
"WS-011","WEBSOCKET","Events","CONVERSATION_UPSERT émis à la bonne room","2 postes connectés, message entrant pour le poste A","1. Message entrant pour chat assigné au poste A. 2. Observer events reçus par poste A et B.","Seul le poste A reçoit CONVERSATION_UPSERT, poste B ne reçoit rien","CRITIQUE","À tester",""
"WS-012","WEBSOCKET","Events","CONVERSATION_REMOVED émis à l'ancien poste lors de réassignation","Chat assigné au poste A, réassigné au poste B","1. Provoquer réassignation. 2. Observer events.","Poste A reçoit CONVERSATION_REMOVED, poste B reçoit CONVERSATION_ASSIGNED","CRITIQUE","À tester",""
"WS-013","WEBSOCKET","Events","Queue update émis après actions admin","Agents connectés","1. POST /queue/block/:id. 2. Observer events WebSocket côté clients.","Tous les clients connectés reçoivent un event de mise à jour de queue","HAUTE","À tester",""
"MA-001","MESSAGE_AUTO","Envoi automatique","Envoi du message auto à la bonne étape","Chat avec auto_message_step=0, template en position 0","1. Déclencher sendAutoMessage(chat_id, 0). 2. Vérifier whatsapp_message créé et chat state.","Message créé (direction=OUT), chat.auto_message_status=sent, chat.read_only revenu à false","HAUTE","À tester",""
"MA-002","MESSAGE_AUTO","Envoi automatique","Remplacement des variables #name# et #numero#","Template contient #name# et #numero#","1. Déclencher auto-message. 2. Vérifier texte du message créé.","#name# remplacé par clientName, #numero# par clientPhone dans le texte final","HAUTE","À tester",""
"MA-003","MESSAGE_AUTO","Envoi automatique","Tirage aléatoire parmi templates de même position","Plusieurs templates en position 0","1. Déclencher auto-message 10 fois pour chats différents. 2. Vérifier quels templates sont utilisés.","Distribution aléatoire entre les templates, pas de sélection systématique du premier","MOYENNE","À tester",""
"MA-004","MESSAGE_AUTO","Envoi automatique","Blocage si pas de channel_id sur le chat","Chat sans channel_id","1. Déclencher auto-message. 2. Vérifier erreur.","Erreur catchée, chat non verrouillé indéfiniment (read_only reset), log d'erreur visible","HAUTE","À tester",""
"MA-005","MESSAGE_AUTO","Envoi automatique","Chat verrouillé pendant l'envoi puis déverrouillé","Envoi auto-message en cours","1. Observer read_only pendant envoi. 2. Vérifier état final.","read_only=true pendant envoi, read_only=false après completion (succès ou erreur)","HAUTE","À tester",""
"MA-006","MESSAGE_AUTO","Envoi automatique","Pas d'envoi si waiting_client_reply=false","Chat sans flag waiting_client_reply","1. Message entrant sur chat sans auto-message configuré. 2. Vérifier whatsapp_message.","Aucun message OUT auto créé","MOYENNE","À tester",""
"CF-001","CONFIG","DispatchSettings","Lecture des paramètres actuels – GET /queue/dispatch/settings","Settings initialisées en BDD","1. GET /queue/dispatch/settings (admin auth). 2. Vérifier réponse JSON.","Retour JSON avec no_reply_reinject_interval_minutes, read_only_check_interval_minutes, offline_reinject_cron","HAUTE","À tester",""
"CF-002","CONFIG","DispatchSettings","Mise à jour partielle des settings – POST /queue/dispatch/settings","Settings existantes","1. POST avec {no_reply_reinject_interval_minutes: 3}. 2. GET settings. 3. Vérifier audit.","Valeur mise à jour, ancienne valeur conservée pour les autres champs, entrée audit créée","HAUTE","À tester",""
"CF-003","CONFIG","DispatchSettings","Reset aux valeurs par défaut – POST /queue/dispatch/settings/reset","Settings modifiées","1. POST /queue/dispatch/settings/reset. 2. GET settings.","Valeurs revenues aux défauts (5 min, 10 min, cron 0 9 * * *), audit entry avec reset=true","HAUTE","À tester",""
"CF-004","CONFIG","DispatchSettings","Validation cron invalide refusée","Backend démarré","1. POST settings avec offline_reinject_cron=""not_a_cron"". 2. Vérifier réponse.","Erreur 400 ou 422, settings non modifiées, job non replanifié","HAUTE","À tester",""
"CF-005","CONFIG","DispatchSettings","Audit paginé – GET /queue/dispatch/settings/audit/page","Plusieurs modifications faites","1. GET /audit/page?page=1&limit=5. 2. GET page 2.","Pagination correcte, total count exact, données triées par date décroissante","MOYENNE","À tester",""
"CF-006","CONFIG","DispatchSettings","Filtre audit reset_only=true","Audit avec mix reset + modif","1. GET /audit?reset_only=true.","Seules les entrées avec reset=true retournées","MOYENNE","À tester",""
"CF-007","CONFIG","DispatchSettings","Accès sans auth admin refusé","Pas de token admin","1. GET /queue/dispatch/settings sans token. 2. POST settings sans token.","Retour 401 ou 403 sur tous les endpoints /queue/dispatch","CRITIQUE","À tester",""
"DI-001","INTEGRITE_DONNEES","Cohérence","unread_count cohérent après recomputeUnreadCount","Chat avec unread_count incohérent (ex: compteur hors sync)","1. Forcer unread_count=5 en BDD mais 2 messages non lus réels. 2. Appeler recomputeUnreadCount. 3. Vérifier.","unread_count=2 (valeur recalculée depuis whatsapp_message), cohérence restaurée","HAUTE","À tester",""
"DI-002","INTEGRITE_DONNEES","Cohérence","Poste supprimé – chats orphelins","Chat avec poste_id référençant un poste supprimé","1. Supprimer un poste avec des chats assignés. 2. Vérifier whatsapp_chat.","Vérifier contrainte FK: erreur propre ou cascade, pas de poste_id fantôme causant des crashes","HAUTE","À tester","Risque: pas de FK CASCADE identifiée dans le code"
"DI-003","INTEGRITE_DONNEES","Cohérence","Message sans poste_id si dispatch échoue","Dispatch échoue en exception","1. Simuler échec dans assignConversation (mock). 2. Vérifier message sauvegardé.","Message sauvegardé mais poste_id=null, log d'erreur, chat en EN_ATTENTE ou rollback","HAUTE","À tester",""
"DI-004","INTEGRITE_DONNEES","Cohérence","channel_id vs last_msg_client_channel_id – cohérence","Chat dont le channel change entre messages","1. Envoyer message via channel A. 2. Envoyer message via channel B. 3. Vérifier chat fields.","last_msg_client_channel_id mis à jour avec channel B, channel_id original conservé ou mis à jour","MOYENNE","À tester",""
"DI-005","INTEGRITE_DONNEES","Race condition","Mutex – deux messages simultanés même client","Deux webhooks identiques reçus en même temps","1. Envoyer 2 requêtes webhook simultanées (même chat_id) via thread concurrent. 2. Vérifier chat.poste_id et message count.","Un seul chat créé, deux messages sauvegardés, poste_id identique sur les deux, pas d'exception","CRITIQUE","À tester",""
"DI-006","INTEGRITE_DONNEES","Race condition","Mutex – connexion agent pendant dispatch en cours","Dispatch en cours, agent se connecte simultanément","1. Simuler arrivée message + connexion WebSocket simultanées. 2. Vérifier queue et assignation.","Pas de double entrée en queue, assignation cohérente, pas d'exception","CRITIQUE","À tester",""
"DI-007","INTEGRITE_DONNEES","Unique constraint","Doublon chat_id même tenant refusé","Chat existant avec (tenant_id, chat_id) unique","1. Tenter insertion d'un chat avec même (tenant_id, chat_id). 2. Vérifier erreur.","Unique constraint violation catchée, pas de doublon, comportement findOrCreate idempotent","HAUTE","À tester",""
"DI-008","INTEGRITE_DONNEES","Unique constraint","Doublon message (provider, provider_message_id, direction)","Message déjà persisté","1. Tenter save d'un message avec mêmes (provider, provider_message_id, direction). 2. Vérifier.","Unique constraint catchée, second message ignoré, pas de crash","HAUTE","À tester",""
"P-001","PERFORMANCE","Queue","getNextInQueue avec 20 postes en queue","20 postes dans queue_positions","1. GET /queue. 2. Envoyer 50 messages clients en rafale. 3. Mesurer temps d'assignation.","Temps d'assignation < 500ms par message, pas de timeout, tous assignés correctement","HAUTE","À tester",""
"P-002","PERFORMANCE","Messages","sendConversationsToClient avec 200 chats","200 chats assignés au poste","1. Connecter agent. 2. Mesurer délai entre connexion et réception de CONVERSATION_LIST.","CONVERSATION_LIST reçue en < 2s, pas de timeout WebSocket","HAUTE","À tester",""
"P-003","PERFORMANCE","Messages","Charge – 10 agents connectés simultanément","Aucun agent connecté initialement","1. Connecter 10 agents simultanément. 2. Observer logs.","Tous connectés sans erreur, queue cohérente, pas de race condition visible","HAUTE","À tester",""
"P-004","PERFORMANCE","Messages","Rafale de messages entrants – 100 webhooks/minute","Backend stable, 1 agent connecté","1. Envoyer 100 webhooks en 60 secondes. 2. Vérifier count messages BDD. 3. Vérifier erreurs.","100 messages persistés sans perte, pas d'erreur 500, temps moyen de traitement < 200ms","HAUTE","À tester",""
"E2E-001","END_TO_END","Flux complet","Flux complet – nouveau client, assignation, réponse agent, lecture","Backend + Frontend + BDD opérationnels","1. Client envoie message WhatsApp (webhook). 2. Agent voit la conversation dans l'UI. 3. Agent répond. 4. Vérifier unread_count=0 après lecture.","Conversation visible en temps réel, réponse agent envoyée, message IN et OUT en BDD, unread_count géré correctement","CRITIQUE","À tester",""
"E2E-002","END_TO_END","Flux complet","Flux complet offline – message reçu, agent se connecte, conversation apparaît","Agent déconnecté au moment du message","1. Envoyer webhook agent déconnecté. 2. Connecter l'agent. 3. Observer conversation list.","Conversation EN_ATTENTE puis assignée au poste de l'agent, visible dans l'UI après connexion","CRITIQUE","À tester",""
"E2E-003","END_TO_END","Flux complet","Flux complet SLA – pas de réponse → réinjection → réassignation autre poste","2 postes, premier poste ne répond pas dans le délai SLA","1. Assigner chat au poste A. 2. Attendre expiration SLA. 3. Vérifier réassignation au poste B.","Chat réinjecté, poste A reçoit CONVERSATION_REMOVED, poste B reçoit CONVERSATION_ASSIGNED","CRITIQUE","À tester",""
"E2E-004","END_TO_END","Flux complet","Flux complet auto-message – message client → réponse automatique","Template auto configuré en position 0","1. Envoyer message client (webhook). 2. Vérifier message auto créé. 3. Vérifier état chat.","Message auto OUT créé, variables remplacées, chat déverrouillé après envoi","HAUTE","À tester",""
"E2E-005","END_TO_END","Flux complet","Flux complet blocage – admin bloque poste pendant conversation active","Agent actif avec chats, admin bloque le poste","1. Admin POST /queue/block/:id. 2. Vérifier état chats assignés. 3. Vérifier que nouveaux messages ne vont plus vers ce poste.","Poste hors queue, chats existants non réassignés immédiatement (sauf SLA), nouveaux messages vont ailleurs","HAUTE","À tester",""
"E2E-006","END_TO_END","Recherche front","Filtre recherche conversations par nom client","Agent connecté avec conversations actives","1. Saisir nom client dans le champ recherche sidebar. 2. Observer liste conversations.","Seules les conversations dont clientName contient le terme sont affichées","HAUTE","À tester",""
"E2E-007","END_TO_END","Recherche front","Filtre recherche conversations par numéro","Agent connecté","1. Saisir numéro partiel dans la recherche.","Conversations filtrées sur clientPhone","HAUTE","À tester",""
"E2E-008","END_TO_END","Recherche front","Filtre recherche conversations par contenu dernier message","Agent connecté, conversations avec textes variés","1. Saisir mot-clé présent dans un dernier message.","Seules les conversations avec lastMessage.text contenant le terme apparaissent","HAUTE","À tester",""
"E2E-009","END_TO_END","Recherche front","Filtre statut ""Non lus"" – affiche uniquement unreadCount > 0","Conversations avec et sans non lus","1. Cliquer bouton ""Non lus"". 2. Observer liste.","Uniquement conversations avec unreadCount > 0 visibles","HAUTE","À tester",""
"E2E-010","END_TO_END","Recherche front","Filtre statut ""Nouveaux""","Conversations avec status=nouveau","1. Cliquer bouton ""Nouveaux"".","Uniquement status=nouveau affichées","HAUTE","À tester",""
"E2E-011","END_TO_END","Recherche front","Combinaison filtre statut + recherche texte","Conversations mixtes","1. Sélectionner ""Non lus"". 2. Saisir un terme de recherche.","Résultats filtrés sur les deux critères simultanément","HAUTE","À tester","Vérifier que filteredConversations dans Sidebar cumule bien les deux filtres"
"S-001","SECURITE","Auth","Endpoint admin sans token refusé","Backend démarré","1. GET /queue sans Authorization header. 2. POST /queue/reset sans token.","HTTP 401 sur tous les endpoints AdminGuard","CRITIQUE","À tester",""
"S-002","SECURITE","Auth","WebSocket avec token commercial accédant à données autre commercial","2 commerciaux avec postes différents","1. Commercial A connecté. 2. Émettre messages:get avec chat_id appartenant au poste B.","Aucun message retourné ou erreur permission, pas de fuite données entre postes","CRITIQUE","À tester",""
"S-003","SECURITE","Auth","Injection SQL via chat_id webhook","Backend démarré","1. POST webhook avec chat_id=""'"," DROP TABLE whatsapp_chat"," --"". 2. Vérifier BDD.","Requête échoue proprement ou chat_id échappé, table intacte, pas d'injection","CRITIQUE","À tester",""
"S-004","SECURITE","Tenant","Cross-tenant – agent ne reçoit pas events d'autre tenant","2 tenants configurés","1. Agent tenant A connecté. 2. Webhook message tenant B. 3. Observer events côté A.","Aucun event tenant B n'arrive chez l'agent A","CRITIQUE","À tester",""
"S-005","SECURITE","Rate limiting","Flood WebSocket – protection","Agent connecté","1. Émettre 200 events message:send en < 5 secondes. 2. Observer réponse.","Event RATE_LIMITED reçu, serveur non crashé, autres agents non impactés","HAUTE","À tester",""
