ID,Priorite,Domaine,Donnees requises,Prerequis,Etapes,Resultat attendu,Statut,Observations
VOC-01,P1,Vocal,"Micro autorisé","Conversation ouverte","1) Cliquer micro. 2) Parler 5s. 3) Envoyer.","Vocal visible et reçu côté client.",,
VOC-02,P2,Vocal,"Micro autorisé","Conversation ouverte","1) Démarrer enregistrement. 2) Annuler.","Aucun message créé.",,
CT-01,P1,Contacts,"10 contacts existants","Commercial connecté","1) Aller à la vue contacts.","Liste des contacts visible.",,
CT-02,P1,Contacts,"Contact identifiable","Vue contacts ouverte","1) Rechercher par nom/tel/notes.","Résultats cohérents.",,
CT-03,P1,Contacts,"Contacts avec statuts variés","Vue contacts ouverte","1) Filtrer par statut appel. 2) Filtrer par priorité.","Résultats cohérents.",,
CT-04,P1,Contact,"Contact sélectionnable","Vue contacts ouverte","1) Cliquer un contact.","Fiche détail correcte.",,
CT-05,P1,Contact,"Contact sélectionné","Vue détail ouverte","1) Ouvrir modal appel. 2) Modifier statut/notes/résultat/durée. 3) Confirmer.","Mise à jour visible sur la fiche.",,
CT-06,P1,Call Logs,"Contact modifié","Vue détail ouverte","1) Vérifier historique appels.","Nouveau call log visible.",,
CT-07,P1,Contact -> Chat,"Contact avec chat_id","Vue détail ouverte","1) Cliquer 'Voir conversation'.", "Ouverture du chat correspondant.",,
ADM-01,P0,Admin CRUD,"Compte admin valide","Admin connecté","1) Ouvrir Commerciaux. 2) Modifier un commercial. 3) Enregistrer.","Changement pris en compte.",,
ADM-02,P1,Admin CRUD,"Données de poste","Admin connecté","1) Créer un poste. 2) Vérifier dans liste.","Poste visible.",,
ADM-03,P1,Admin CRUD,"Poste existant","Admin connecté","1) Modifier un poste. 2) Enregistrer.","Poste mis à jour.",,
ADM-04,P1,Admin CRUD,"Poste existant","Admin connecté","1) Supprimer un poste. 2) Confirmer.","Poste supprimé.",,
ADM-05,P1,Admin CRUD,"Channel valide","Admin connecté","1) Créer un channel. 2) Vérifier en liste.","Channel visible.",,
ADM-06,P0,Admin Queue,"Poste actif","Admin connecté","1) Bloquer poste. 2) Vérifier qu'il ne reçoit plus.","Aucune conversation dispatchée à ce poste.",,
ADM-07,P0,Admin Queue,"Poste bloqué","Admin connecté","1) Débloquer poste. 2) Vérifier reprise.","Poste reçoit à nouveau.",,
ADM-08,P1,Admin Dispatch,"Paramètres dispatch","Admin connecté","1) Modifier settings. 2) Enregistrer. 3) Ouvrir audit.","Audit affiche la modification.",,
ADM-09,P1,Admin Metrics,"Données métriques","Admin connecté","1) Ouvrir métriques globales. 2) Vérifier valeurs.","Données cohérentes et chargées.",,
WH-01,P0,Webhook réel,"Numéro client réel","Backend prêt","1) Envoyer message depuis WhatsApp client. 2) Observer front commercial.","Message apparaît en temps réel.",,
SEC-01,P0,Sécurité,"Session expirée","Admin déconnecté","1) Tenter accès direct à une page admin.","Accès refusé ou redirection login.",,
SEC-02,P0,Sécurité,"Cookies supprimés","Session invalide","1) Supprimer cookies. 2) Recharger page.","Redirection login.",,
